c:\john\code\logwiz\logwizard\ui\Dummy.cs(44): 11:35:38,307 9          INFO  - Started LogWizard v1.2.24.0
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,808 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lv\windowsinstallerlogs\deinstall.log -> Name-deinstall.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,809 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lv\windowsinstallerlogs\deinstall.log -> Fast-44c9456729adc2a9c78099e0c96c603b-161426
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,810 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-system-635762748694917342\TableNinja2.log.1 -> Name-TableNinja2.log.1
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,811 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-system-635762748694917342\TableNinja2.log.1 -> Fast-168a5bde957f2228c2b4168306295a1c-480298
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,812 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-denisetiernan-635762835792355695\TableNinja2.log.1 -> Name-TableNinja2.log.1
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,813 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-denisetiernan-635762835792355695\TableNinja2.log.1 -> Fast-cb358c2c1e835ccbd2ccad86971885ea-166700
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,814 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-system-635762748694917342\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,815 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-system-635762748694917342\TableNinja2.log -> Fast-bbe245714f1bf7cd1d5b81e4ee814a40-187041
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,816 9          DEBUG - [md5] computed md5 for C:\john\code\tableninja-v2\TableNinja2\TN2\bin\Debug\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,816 9          DEBUG - [md5] computed md5 for C:\john\code\tableninja-v2\TableNinja2\TN2\bin\Debug\TableNinja2.log -> Fast-e1260fa6f38c6eaf74ed3d4d0b8dea00-11481
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,817 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-denisetiernan-635762835792355695\vision_user.txt -> Name-vision_user.txt
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,818 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-denisetiernan-635762835792355695\vision_user.txt -> Fast-fe91400975b14b53519d1b22b323f973-1815
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,819 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-denisetiernan-635762835792355695\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,820 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\tnlogs-denise-denisetiernan-635762835792355695\TableNinja2.log -> Fast-d7fc222b60d64b3df148e9692fed368c-64869
